pgpid,url,iiif_urls,fragment_urls,shelfmark,multifragment,side,region,type,tags,description,scholarship_records,shelfmarks_historic,languages_primary,languages_secondary,language_note,doc_date_original,doc_date_calendar,doc_date_standard,inferred_date_display,inferred_date_standard,inferred_date_rationale,inferred_date_notes,initial_entry,last_modified,input_by,library,collection,has_transcription,has_translation,notes,needs_review,status,url_admin
3238,https://geniza.princeton.edu/documents/3238/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00014-00007,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00014-00007,T-S 13J14.7,,,,Letter,,"Beautifully written letter sent to the Nagid Mevorakh at an early point in his career, probably by a person who had formerly been employed by him. (Information from Goitein's index cards)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 14, f. 7; TS 13 J 14, fol. 7; TS 13 J 14, f. 7; TS Box 13 J 14, fol. 7",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2023-08-06 01:06:54.731961+00:00,Alan Elbaum ; Dan Sachs ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3238/change/
3242,https://geniza.princeton.edu/documents/3242/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00015-00018,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00015-00018,T-S 13J15.18,,,,Letter,personal,"Family letter sent from Qal'at Ja'bar on the Euphrates River Syria, by a man to his brother, saying that he had learned about the death of his father and about his brother's marriage and about the birth of his son only from his brother's letter. The letter contains orders for both a turban and a robe. Dated ca. 1100. (Information from Mediterranean Society, IV, pp. 159, 398; V, p. 541)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 15, fol. 18; TS 13 J 15, fol. 18; TS 13 J 15, f. 18; TS Box 13 J 15, f. 18",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-02 23:37:57.395246+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3242/change/
3243,https://geniza.princeton.edu/documents/3243/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00015-00002,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00015-00002,T-S 13J15.2,,,,Letter,"illness: marad, illness letter 969-1517, Illness, illness: consultation, illness: physicians","Letter from Shelomo b. Ḥayyim, in Alexandria, to Abū l-Faḍl Maṣliaḥ b. Yosef, in Fustat. Dating: Ca. first half of the 12th century (the same people appear in T-S 8J4.24 + T-S 8J7.8 in 1111 CE). The writer had been informed that the boat from Cairo to Alexandria, on which the addressee was aboard, had been turned back by the qāḍī. The addressee is expected to return to Alexandria soon. (Information from Mediterranean Society, II, p. 611 and Goitein's attached notes.) After making some purchases in Fustat, the writer realized that he lost some gold, whether in Fustat or while in transit. In the margin, he excuses himself from returning to Fustat and seeing the address in person because he was ill. He hopes that the addressee will be able to see his state when they are reunited (perhaps he has some medical expertise?). In the meantime, the son of the Rayyis, Ibn Naḥūm, has seen him and will give a report on the writer's state to the addressee.","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 15, fol. 2; TS Box 13 J 15, f. 2; TS 13 J 15, fol. 2; TS 13 J 15, f. 2",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-12-02 20:20:02.923872+00:00,Alan Elbaum ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3243/change/
3244,https://geniza.princeton.edu/documents/3244/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00015-00021,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00015-00021,T-S 13J15.21,,,,Letter,trade,"Calligraphic letter from Ya'qub to someone named Ismail in Alexandria, asking urgently for some cloth. (Information from Goitein's index cards)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 15, f. 21; TS 13 J 15, f. 21; TS Box 13 J 15, fol. 21; TS 13 J 15, fol. 21",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-08-02 21:39:35.174051+00:00,Dan Sachs ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3244/change/
3246,https://geniza.princeton.edu/documents/3246/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00015-00003,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00015-00003,T-S 13J15.3,,,,Letter,,"Letter from Yosef b. Ma'la to Nethanel Abu Sa'id b. Sadaqa. The letter opens with a full-fledged congratulation, referring also to the Feast of Tabernacles (following close after the Day of Atonement), and discussing business matters. Written ca. 1110. (Information from Mediterranean Society, V, p. 351; 617)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 15, fol. 3; TS 13 J 15, f. 3; TS Box 13 J 15, f. 3; TS 13 J 15, fol. 3",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-02 23:40:43.181989+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3246/change/
3250,https://geniza.princeton.edu/documents/3250/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00015-00009,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00015-00009,T-S 13J15.9,,,,Letter,"Nahray B. Nissim, trade","Letter sent from Alexandria to Fustat, by Avraham b. Farah to Nahray b. Nissim, reporting on the arrival of ships in Alexandria and dealing with commercial affairs. Dated July 1053 by Gil and 1050-1055 by Ben Sasson. (Information from Gil and Ben Sasson)","Menahem Ben-Sasson, The Jews of Sicily, 825–1068: Documents and Sources‎ (in Hebrew) (1991). ; Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 3. ; S. D. Goitein, Letters of Medieval Jewish Traders (1973). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 15, fol. 9; TS Box 13 J 15, fol. 9; TS Box 13 J 15, f. 9; TS 13 J 15, f. 9",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-08-02 21:41:40.608183+00:00,Dan Sachs ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3250/change/
3252,https://geniza.princeton.edu/documents/3252/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00016-00010,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00016-00010,T-S 13J16.10,,,,Letter,"tax, capitation tax, boat, jaliya","Letter from a young man named Sibāʿ, in Alexandria, to his mother, in Fustat, but addressed to his brother Abū l-Najm. In Judaeo-Arabic. Dating: Possibly early 13th century, if Abū Saʿīd b. Thābit al-Ḥazzān mentioned at the end is identical with the brother of Meir b. Yakhin (aka Bū l-Majd b. Thābit). The letter describes the troubles the writer encountered from a capitation tax official on his travels in a Nile boat and saying he had arrived safely in Alexandria. (Information in part from Mediterranean Society, I, pp. 299, 300.)

We have several letters from the same family. Both Sibāʿ and Yehuda are identified as having been teachers in the Babylonian synagogue in Fustat. 
- Bodl. MS heb. d 66/23 (PGPID 6459): Musāfir in Alexandria to his brother Yehuda the teacher in Fustat.
- DK 315 (PGPID 30290): Najm in Fustat to his brother Musāfir in Alexandria
- ENA 2808.19 (PGPID 6709): Sibāʿ and Musāfir in Alexandria to their brother Najm and mother in Fustat.
- T-S 13J16.10 (PGPID 3252): Sibāʿ and Musāfir in Alexandria to their brother Najm and mother in Fustat.
- T-S AS 162.14 (PGPID 18054): might be related, quotes the wife of Sibāʿ talking about Musāfir.","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions. ; S. D. Goitein, unpublished editions. With minor emendations by Alan Elbaum, 04/2021.","TS Box 13 J 16, f. 10; TS 13 J 16, fol. 10; TS 13 J 16, f. 10; TS Box 13 J 16, fol. 10",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2023-12-26 05:15:33.301492+00:00,Alan Elbaum ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3252/change/
3253,https://geniza.princeton.edu/documents/3253/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00016-00002,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00016-00002,T-S 13J16.2,,,,Letter,,"Letter sent from Alexandria by Hayyim b. Eli ha-Kohen to his father in Fustat, asking him to complete a number of errands, in particular in connection with a woman, probably the writer's divorced wife. Dated ca. 1080. (Information from Gil, Kingdom, Vol. 4, p. 580)","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 4. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions. ; S. D. Goitein, unpublished editions. With emendations by Yusuf Umrethwala (06/10/23).","TS 13 J 16, fol. 2; TS Box 13 J 16, f. 2; TS Box 13 J 16, fol. 2; TS 13 J 16, f. 2",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2023-06-10 14:43:36.643034+00:00,Dan Sachs ; Sarah Nisenson ; Yusuf Umrethwala,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3253/change/
3254,https://geniza.princeton.edu/documents/3254/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00016-00006,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00016-00006,T-S 13J16.6,,,,Letter,"illness letter 969-1517, illness: emotion, illness: etiology, illness: lazim, Illness, hamas","Letter from Yiṣḥaq b. Moshe, the muqaddam of Sunbāṭ (see T-S 24.25v, dated 1149 CE), to the Nagid. Yiṣḥaq reports that the chief cantor died after four months of lying in bed with terrible pains. He complains that the widow (""the wicked Zeresh"") is threatening, as soon as her son arrives, to accuse him before the local chief of police (wālī) of being the cause of her husband's illness and death. She says, ""The muqaddam excommunicated him and killed him before the entire congregation."" Defending himself, Yiṣḥaq writes, ""You know the ḥamas of the Rīf. A person may die from less than this."" Goitein understands ""ḥamas"" to be the Hebrew word variously meaning violence, anger, injustice, or false witness (but usually referring to governmental persecution in Geniza documents). The writer is thus referring to his own sufferings, countering the claim that he killed the cantor with the claim that the distress caused by such a false accusation puts his own life in danger. The writer admits that popular opinion is against him (anā taḥta safeq fī l-amr). In the bottom, fragmentary portion, he seems to complain that he is not being paid; he also mentions a blanket and ""three sick people, and I am the fourth."" He is prepared to come to Fustat if the Nagid wishes. Information in part from Mediterranean Society, II, pp. 74, 537. ASE.","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions. ; S. D. Goitein, unpublished editions. With minor emendations by Alan Elbaum (2020).","TS Box 13 J 16, f. 6; TS Box 13 J 16, fol. 6; TS 13 J 16, f. 6; TS 13 J 16, fol. 6",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-06-12 17:49:52.094933+00:00,Alan Elbaum ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3254/change/
3255,https://geniza.princeton.edu/documents/3255/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00016-00008,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00016-00008,T-S 13J16.8,,,,Letter,Mosul Nasis,"Letter sent by Eli b. Natan the physician to the Nasi in Cairo, probably Shelomo b. Yishai, complaining that the Hazzan returned only two of the three dinars Eli had deposited with him. (Information from Mediterranean Society, II, pp. 41, 530, 607, and from Goitein's index cards)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 16, f. 8; TS Box 13 J 16, fol. 8; TS 13 J 16, fol. 8; TS Box 13 J 16, f. 8",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-03 15:11:36.330333+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3255/change/
3256,https://geniza.princeton.edu/documents/3256/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00016-00009,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00016-00009,T-S 13J16.9,,,,Letter,,"Letter from Abū l-Maʿālī to Ḥemdat ha-Yeshiva Abū Isḥāq Avraham b. Natan ha-Sheviʿi. Writing that although he has not heard from him in a while, he understands that a disaster has befallen him, and sending him good wishes for Passover. (Information from Goitein's index card.)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 16, fol. 9; TS Box 13 J 16, fol. 9; TS 13 J 16, f. 9; TS Box 13 J 16, f. 9",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2024-02-06 19:19:23.277741+00:00,Alan Elbaum ; Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3256/change/
3257,https://geniza.princeton.edu/documents/3257/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00010,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00010,T-S 13J17.10,,,,Letter,,"Letter to Abu 'Ali, probably from his brother, inquiring about the lack of correspondence. The sender asks for an explanation, citing Leviticus 19:17. (Information from Mediterranean Society, V, pp. 294-295)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 17, f. 10; TS 13 J 17, fol. 10; TS Box 13 J 17, fol. 10; TS Box 13 J 17, f. 10",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-03 15:21:37.951515+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3257/change/
3258,https://geniza.princeton.edu/documents/3258/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00012,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00012,T-S 13J17.12,,,,Letter,address as seal,Letter to the cantor Hillel b. Eli about the bad behavior of his son Abu al-Ḥasan. (Information from Goitein's index cards),"S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 17, fol. 12; TS Box 13 J 17, f. 12; TS 13 J 17, f. 12; TS Box 13 J 17, fol. 12",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-03 15:22:42.237397+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3258/change/
3260,https://geniza.princeton.edu/documents/3260/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00015,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00015,T-S 13J17.15,,,,Letter,"ink, trade, silk, pearls, al-Tahirti, material culture","Business letter from Avraham b. Farah in Alexandria to Yosef b. Moshe b. Barhun al-Tahirti in Fustat. The letter mentions a shipment of cosmetic oils, lead, silk and pearls. Avraham takes care of the storage house rented by Yosef in Alexandria. He asks Yosef to buy him ink and pens in Fustat. (Information from Gil)","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 3. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 17, f. 15; TS Box 13 J 17, f. 15; TS Box 13 J 17, fol. 15; TS 13 J 17, fol. 15",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-08-02 21:44:59.085737+00:00,Dan Sachs ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3260/change/
3262,https://geniza.princeton.edu/documents/3262/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00019,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00019,T-S 13J17.19,,verso,,Literary text,treatise,"Verso: A religious text, probably a translation of 'Keter Malkhut.' Recto: Letter of congratulations from Musalah to Shelomo and his son upon the marriage of the son. (Information from Goitein's index cards)","S. D. Goitein, unpublished editions.","TS Box 13 J 17, f. 19; TS Box 13 J 17, fol. 19; TS 13 J 17, f. 19; TS 13 J 17, fol. 19",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-10-01 12:17:08.335931+00:00,Amir Ashur ; Rachel Richman ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3262/change/
3263,https://geniza.princeton.edu/documents/3263/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00020,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00020,T-S 13J17.20,,,,Letter,"recommendation, Shipwreck","Recommendation letter for an Iraqi merchant who lost everything in a shipwreck. He is advised to write to Abu al-Bishr and his cousin. (Information from Goitein's index cards, and Goitein, Mediterranean Society, I, p. 409)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 17, f. 20; TS Box 13 J 17, f. 20; TS 13 J 17, fol. 20; TS Box 13 J 17, fol. 20",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-03 15:25:26.476773+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3263/change/
3266,https://geniza.princeton.edu/documents/3266/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00005,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00005/1,T-S 13J17.5,,recto and verso,,Letter,"Alexandria, dispute","Letter from Shela b. Mevasser b. Naḥum, a judge of Alexandria, to Abū al-Ḥasan Surūr b. Ḥayyim in Fustat, dealing with family and public matters. The letter contains clues about the dispute between Shela and Mevorakh b. Saadya and reflects Shela’s conception of his role as a community leader. (Information from Frenkel, The Compassionate and Benevolent, p. 514; S. D. Goitein, Index cards.)","Miriam Frenkel, The Compassionate and Benevolent: The Leading Elite in the Jewish Community of Alexandria in the Middle Ages‎ (in Hebrew) (2006). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 17, f. 5; TS 13 J 17, fol. 5; TS Box 13 J 17, fol. 5; TS Box 13 J 17, f. 5",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-08-02 21:50:07.603881+00:00,Dan Sachs ; Nadia Vidro ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3266/change/
3267,https://geniza.princeton.edu/documents/3267/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00007,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00007,T-S 13J17.7,,,,Letter,,"Letter from Hassun b. Yiṣḥaq in Alexandria to Yahya b. Ismail in Fustat. The sender inquires about a shipment of tin sent to the addressee. Hassun also announces that he is anticipating a shipment of leather for which he specifies requirements concerning the shipment, expenses and the required documents. (Information from Gil, Kingdom, Vol. 4, #808)ת On verso another text.","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 4. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 17, f. 7; TS 13 J 17, f. 7; TS Box 13 J 17, fol. 7; TS 13 J 17, fol. 7",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2022-09-18 10:37:46.906648+00:00,Dan Sachs ; Moshe Yagur ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3267/change/
3268,https://geniza.princeton.edu/documents/3268/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00017-00008,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00017-00008,T-S 13J17.8,,,,Letter,"illness letter 969-1517, Sedaqa b. Semah, private, Petition, Illness","Begging letter from Fuḍayl, the brother of Abū l-Ḥasan, and from Abū Saʿd, to his relative Abū l-Khayr Ṣedaqa b. Ṣammūh b. Sasson requesting help for himself and another person. Fuḍayl asks Ṣedaqa to 'make the rounds' and collect some donations from other Jews. ""You know how sick I am after having been a man as [strong as] as lion."" The total amount asked for is very modest, only five or six dirhams, which might have been only a symbolic number. The letter starts with a biblical quotation (Proverbs 21:14). (Information from Mediterranean Society, V, pp. 358, 605)","S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 17, f. 8; TS 13 J 17, fol. 8; TS Box 13 J 17, fol. 8; TS 13 J 17, f. 8",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2021-08-03 15:27:17.825484+00:00,Micah Newberger ; Sarah Nisenson,CUL,"CUL, T-S",Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/3268/change/
3270,https://geniza.princeton.edu/documents/3270/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00018-00010,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00018-00010,T-S 13J18.10,,,,Letter,"communal, debt, charity, Women's letters, Appeal","In this appeal, typically addressed to the community ('your excellencies, my masters, the illustrious lordly judges, and...the elders of Israel'), a widow and mother of four, weighed down by debt, asks for 'something to conceal myself (astur bihi nafs) and the fo[ur] who are with me. She thus voices the common plaint of the master, the 'concealed,' who strives to maintain him/herself economically without having to 'uncover his/her face, especially by resorting to the public dole. (Information from Goitein's index cards and from Cohen)","Mark Cohen, The Voice of the Poor in the Middle Ages (2005). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS 13 J 18, f. 10; TS Box 13 J 18, f. 10; TS 13 J 18, fol. 10; TS Box 13 J 18, fol. 10",Judaeo-Arabic,,,,,,,,,,2017-01-01 05:00:00+00:00,2023-07-20 22:50:11.540677+00:00,Dan Sachs ; Jake Brzowsky ; Miriam Krakowski ; Sarah Nisenson,CUL,"CUL, T-S",Y,Y,"Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing

Cohen, ""The Voice of the Poor in the Middle Ages"", document 43",No line numbering in translation,Public,https://geniza.princeton.edu/admin/corpus/document/3270/change/
3273,https://geniza.princeton.edu/documents/3273/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00018-00014,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00018-00014,T-S 13J18.14,,,,Letter,"illness letter 969-1517, Halfon b. Menashshe, illness: threatening to die, disability, disability: vision, illness: furqa, distant son, Illness, Illness: women's, Appeal","Letter on behalf of Yaḥyā b. ʿAmmār of Alexandria addressed to ʿŪlla ha-Levi b. Yosef, a.k.a. Abū l-ʿAlā' Ṣāʿid b. Munajjā, a parnas (social welfare official) and trustee of the court in Fustat, dated documents 1084–1117. In Judaeo-Arabic. In the hand of Ḥalfon b. Menashshe. Yaḥyā requests financial help, especially with paying off his debts. His dependents include his children and his old, blind mother. When he could not bear to see them suffering from hunger, he ran away. For some time he has been in hiding from his debtors, some of whom are Muslim. He has recently heard that his mother is dying. He fears that she will die ""on his account"" before he is able to return and obtain her forgiveness. Information from Mediterranean Society, I, p. 257, Goitein's index cards, CUDL, and Cohen. ASE.","Mark Cohen, ""Four Judaeo-Arabic petitions of the poor from the Cairo Geniza,"" Jerusalem Studies in Arabic and Islam 24 (2000). ; Mark Cohen, The Voice of the Poor in the Middle Ages (2005). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 18, fol. 14; TS Box 13 J 18, f. 14; TS 13 J 18, fol. 14; TS 13 J 18, f. 14",Judaeo-Arabic,,,,,1100/1117,,,,,2017-01-01 05:00:00+00:00,2023-07-18 14:32:43.900602+00:00,Alan Elbaum ; Jake Brzowsky ; Miriam Krakowski ; Sarah Nisenson,CUL,"CUL, T-S",Y,Y,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,No line numbering in translation,Public,https://geniza.princeton.edu/admin/corpus/document/3273/change/
